"data","method","f1score_mean","precision_mean","recall_mean","accuracy_mean"
"nikolovski2014","KNN",0.616160004777976,0.673966305532751,0.613739177489178,0.637272727272727
"nikolovski2014","SVM",0.627362389285137,0.651931407440599,0.643306485181485,0.625272727272727
"nikolovski2014","NNET",0.635864568264614,0.673368676078885,0.641942640692641,0.661454545454545
"nikolovski2014","RF",0.685141924575356,0.739244283750489,0.684656385281385,0.702909090909091
"nikolovski2014","NB",0.573137349682743,0.593465949083596,0.601083707958708,0.585090909090909
"nikolovski2014","MAP",0.574538745444387,0.67743171838352,0.557195512820513,0.583636363636364
"nikolovski2014","MCMC",0.574123277040307,0.619483943945631,0.579329420579421,0.573636363636364
"nikolovski2014","DeepSP",0.721208600337488,0.746555757774218,0.725022061272061,0.724727272727273
"E14TG2aR","KNN",0.79901092207343,0.840509166110603,0.808661111111111,0.892368421052631
"E14TG2aR","SVM",0.751301908983604,0.790248970027679,0.778625396825397,0.848157894736842
"E14TG2aR","NNET",0.783254582883239,0.822818046523506,0.795968253968254,0.883947368421053
"E14TG2aR","RF",0.783051600049989,0.819308559054823,0.797980158730159,0.893421052631579
"E14TG2aR","NB",0.777189962211459,0.793574896144724,0.799404761904762,0.867894736842105
"E14TG2aR","MAP",0.783386338814305,0.816668998524889,0.804084126984127,0.886315789473684
"E14TG2aR","MCMC",0.754892344196246,0.835568418541335,0.786009523809524,0.885
"E14TG2aR","DeepSP",0.830108378213838,0.844644999837019,0.842437301587302,0.906710526315789
"itzhak2017","KNN",0.760152474543794,0.838093539494546,0.74645100695197,0.87453488372093
"itzhak2017","SVM",0.73861913499577,0.737916364881636,0.801320974044498,0.816627906976744
"itzhak2017","NNET",0.757109462421355,0.846923446225635,0.749675348756222,0.87546511627907
"itzhak2017","RF",0.762109676365265,0.879270012507927,0.745088330582554,0.885930232558139
"itzhak2017","NB",0.720906512021146,0.718384636760671,0.774210896559581,0.805116279069768
"itzhak2017","MAP",0.695083190665325,0.877116030362039,0.668068499963879,0.85203488372093
"itzhak2017","MCMC",0.745281137039234,0.767681978303463,0.765628107593448,0.856744186046512
"itzhak2017","DeepSP",0.835281531055198,0.847074121582446,0.843561454912225,0.905930232558139
"hirst2018","KNN",0.712275378038223,0.772930260387078,0.714637323868942,0.860512820512821
"hirst2018","SVM",0.723324284197046,0.757597592260687,0.756831863806129,0.806538461538462
"hirst2018","NNET",0.791628021247785,0.831188840004062,0.79374799199983,0.899679487179487
"hirst2018","RF",0.780341586942151,0.855656758890264,0.765048546122995,0.901602564102564
"hirst2018","NB",0.656286442363868,0.660169376048442,0.716161421197267,0.771346153846154
"hirst2018","MAP",0.735128384683598,0.85013391347219,0.725256753458959,0.871217948717949
"hirst2018","MCMC",0.534232215223299,0.701264514683548,0.530974828378321,0.813461538461538
"hirst2018","DeepSP",0.895226888898104,0.914659313361726,0.895258321131483,0.945769230769231
"LOPITDC2019","KNN",0.986012927922812,0.988682637305934,0.985990970072239,0.99
"LOPITDC2019","SVM",0.981154548142291,0.985365449402678,0.980127952233525,0.982666666666667
"LOPITDC2019","NNET",0.984668090299936,0.988604107894743,0.983314378593543,0.988166666666667
"LOPITDC2019","RF",0.98665558803004,0.993053989612039,0.983672324929972,0.991833333333333
"LOPITDC2019","NB",0.984181965841638,0.992453059543655,0.98013299719888,0.99075
"LOPITDC2019","MAP",0.988850133956483,0.992130704353266,0.987510577915377,0.991416666666667
"LOPITDC2019","MCMC",0.988654472152738,0.98620190606607,0.992582063983488,0.989666666666667
"LOPITDC2019","DeepSP",0.98775947330059,0.990353676801355,0.987334045407637,0.990833333333333
"orre2019","KNN",0.718825648576281,0.731573677957208,0.714024943661848,0.731017699115044
"orre2019","SVM",0.701609498349099,0.699689763954728,0.719073892926126,0.713097345132743
"orre2019","NNET",0.724315147312897,0.736767896718845,0.721049269343098,0.743008849557522
"orre2019","RF",0.733791517489551,0.741784830065613,0.731646648898044,0.747315634218289
"orre2019","NB",0.704025356240882,0.712091539588656,0.71349727342728,0.712109144542773
"orre2019","MAP",0.732682467919051,0.751089487066054,0.726786930257917,0.746489675516224
"orre2019","MCMC",0.726519465604593,0.747525612007874,0.718818466148758,0.742994100294985
"orre2019","DeepSP",0.75370036223379,0.757353332478764,0.758133995656693,0.761194690265487
"mulvey2021","KNN",0.842917147354462,0.880499744721012,0.8335908780215,0.888571428571429
"mulvey2021","SVM",0.858197633563042,0.859741042664469,0.86873777936577,0.891366459627329
"mulvey2021","NNET",0.893402317814219,0.907305089296373,0.890645197705006,0.920372670807453
"mulvey2021","RF",0.874186688212792,0.898400935751638,0.866189963545227,0.906583850931677
"mulvey2021","NB",0.798479477822825,0.811361355246059,0.797475848712691,0.851614906832298
"mulvey2021","MAP",0.870519511390383,0.923028778279101,0.861281954887218,0.917888198757764
"mulvey2021","MCMC",0.780248166445288,0.892966533393836,0.778689166097061,0.873850931677019
"mulvey2021","DeepSP",0.908180103809926,0.92373051738855,0.90419151701568,0.932795031055901
